assists,back_passes,blocked_passes,blocked_shots,clearances,crosses,diagonal_passes,dribbles,fouls,foulsconceded,goals,id,interceptions,key_passes,lateral_passes,long_passes,minutesPlayed,name,offsides,passes,position,possession_time,red_cards,saves,season,short_passes,shots,shots_on_target,succ_long_passes,succ_passes,succ_short_passes,tackles,through_passes,touches,yellow_cards
1,16,0,0,1,8,21,0,1,1,0,1411,6,1,12,1,90,邓卓翔,0,56,后卫,152,0,0,2014,55,0,0,0,50,50,1,7,40,0
0,4,0,0,1,1,20,0,1,0,0,1482,3,0,1,3,90,李志南,0,31,后卫,68,0,0,2014,28,0,0,2,25,23,1,6,26,0
0,18,0,0,1,1,18,1,3,2,1,1414,2,0,8,6,90,吴曦,0,48,后卫,193,0,0,2014,42,5,3,5,40,35,2,4,44,0
0,7,2,0,8,1,10,0,2,3,0,1489,0,0,2,4,90,买提江,0,27,后卫,172,0,0,2014,23,0,0,2,20,18,0,8,17,0
0,2,0,0,2,1,10,0,1,0,0,1185,4,0,2,7,90,许博,0,20,中场,78,0,0,2014,13,0,0,3,10,7,1,6,4,0
1,11,1,0,3,1,9,0,2,4,0,1194,2,1,2,3,89,常飞亚,0,24,中场,155,0,0,2014,21,0,0,1,17,16,1,2,25,0
0,9,1,0,0,0,15,0,2,3,0,1612,1,0,4,1,90,拉尔森,0,33,中场,119,0,0,2014,32,0,0,0,27,27,2,5,35,0
0,10,3,0,0,3,6,0,1,3,0,1227,0,1,6,0,90,杨家威,1,28,中场,200,0,0,2014,28,0,0,0,24,24,3,6,22,1
0,15,0,1,0,0,6,1,2,2,3,1200,0,0,6,0,90,哈姆达拉,2,28,前锋,200,0,0,2014,28,14,7,0,23,23,1,1,33,1
0,11,0,1,0,0,7,0,2,4,1,1232,0,1,5,0,90,凯萨,2,24,前锋,118,0,0,2014,24,3,2,0,16,16,0,1,26,0
0,3,0,0,5,0,12,0,0,1,0,1235,7,0,6,1,61,林庾焕,1,25,前锋,116,0,0,2014,24,0,0,0,20,20,6,4,18,1
0,10,1,1,0,0,8,0,3,2,0,1201,1,0,0,0,90,张远,1,20,前锋,116,0,0,2014,20,2,0,0,17,17,0,2,21,0
0,3,0,0,0,0,1,0,0,1,0,2575,0,0,0,0,32,,0,8,,39,0,0,2014,8,2,1,0,2,2,0,4,9,0
0,1,0,0,0,0,3,0,0,0,0,2725,0,0,5,3,29,赵作峻,0,12,后卫,49,0,0,2014,9,0,0,2,9,7,1,3,6,0
1,8,2,0,0,3,20,0,1,1,1,1494,3,1,5,2,87,黄希扬,0,39,中场,137,0,0,2014,37,4,2,1,31,30,6,6,34,1
0,6,0,0,7,0,20,0,1,2,0,1304,3,0,4,4,90,杨善平,0,35,后卫,148,0,0,2014,31,0,0,2,28,26,5,5,23,0
0,3,0,0,7,0,13,0,0,2,0,1306,6,0,7,8,71,弗利博斯扬,0,32,后卫,121,0,0,2014,24,0,0,2,22,20,1,9,17,0
0,2,1,0,3,0,25,0,1,3,0,1107,5,0,5,11,90,孙继海,0,41,后卫,228,0,0,2014,30,0,0,7,35,28,1,9,26,1
0,17,0,0,2,3,13,1,3,0,0,1110,8,3,8,2,90,陈昌源,0,47,后卫,178,0,0,2014,45,0,0,1,39,38,0,9,40,0
0,3,1,0,3,0,30,0,0,0,0,1247,7,2,21,6,90,保罗,0,57,后卫,230,0,0,2014,51,1,0,4,50,46,0,3,45,0
0,8,0,0,1,2,24,0,2,0,0,1489,2,0,11,5,81,买提江,0,48,后卫,149,0,0,2014,43,1,1,3,42,39,3,5,38,1
0,9,1,0,4,1,20,0,2,2,0,1490,8,0,4,2,90,李磊,0,37,中场,156,0,0,2014,35,1,0,1,24,23,2,4,21,0
1,14,0,1,1,3,16,0,1,1,0,1410,2,0,8,4,90,周云,0,41,后卫,148,0,0,2014,37,1,0,1,27,26,1,3,34,0
0,13,1,0,3,1,38,0,0,1,0,1420,5,0,7,10,90,李昂,0,68,中场,270,0,0,2014,58,0,0,2,50,48,3,10,48,0
0,3,0,0,4,0,28,0,0,1,0,1421,0,0,22,3,90,安塔尔,0,59,中场,209,0,0,2014,56,3,2,0,52,52,0,6,47,0
0,3,0,0,3,3,19,0,1,3,0,1187,1,0,6,7,90,朴钟佑,0,36,中场,154,0,0,2014,29,1,0,2,22,20,2,8,22,0
0,1,0,0,2,0,5,0,1,0,0,1178,7,0,1,0,23,李健华,0,10,后卫,63,0,0,2014,10,0,0,0,4,4,1,3,1,0
0,0,0,0,0,0,3,0,0,0,0,1196,0,0,1,0,1,卢琳,0,5,中场,13,0,0,2014,5,0,0,0,3,3,0,1,2,0
0,3,1,0,1,0,5,0,0,1,0,1199,1,0,6,0,29,李岩,0,18,中场,45,0,0,2014,18,0,0,0,11,11,1,4,14,0
0,1,0,0,0,0,3,0,1,0,0,1236,0,0,1,0,17,江晓辰,0,5,前锋,26,0,0,2014,5,1,1,0,1,1,2,0,8,0
0,12,2,1,1,3,5,0,0,0,0,1496,0,0,7,2,64,徐洋,1,27,中场,88,0,0,2014,25,2,1,1,21,20,2,3,22,0
0,11,2,0,0,2,12,0,4,0,0,1497,2,0,3,5,90,尹鸿博,0,32,中场,128,0,0,2014,27,6,4,2,22,20,2,6,34,0
0,19,3,0,4,1,16,1,0,5,0,1022,3,1,9,1,90,于汉超,0,50,中场,195,0,0,2014,49,0,0,0,41,41,1,6,46,0
1,18,1,0,0,0,27,0,3,2,0,1158,4,0,14,3,90,于大宝,0,68,中场,205,0,0,2014,65,1,1,1,58,57,2,9,62,0
0,13,0,0,2,0,21,0,0,1,0,1159,2,0,8,5,52,阿克拉姆,0,50,中场,152,0,0,2014,45,3,0,3,38,35,2,8,40,0
0,18,1,0,4,5,17,0,1,3,0,1165,3,0,6,5,90,赵宏略,0,47,前锋,210,0,0,2014,42,1,0,2,38,36,2,6,42,0
0,10,3,1,1,0,10,0,1,0,1,1505,1,0,2,0,79,约翰逊,2,23,前锋,90,0,0,2014,23,3,2,0,16,16,3,1,23,0
0,6,0,1,0,2,4,0,0,1,1,1166,0,0,7,0,90,本科,1,17,前锋,44,0,0,2014,17,2,1,0,13,13,0,0,20,0
0,17,1,2,0,2,19,1,0,2,1,1167,0,3,12,1,90,布鲁诺,2,51,前锋,179,0,0,2014,50,3,1,0,45,45,1,3,48,1
0,9,3,0,0,1,16,1,1,3,0,1508,0,1,11,3,90,拉斐尔,0,38,前锋,131,0,0,2014,35,1,1,2,30,28,0,2,30,0
0,7,1,0,1,1,3,0,0,0,0,1491,1,0,2,0,26,张璐,0,12,中场,38,0,0,2014,12,0,0,0,8,8,1,0,8,0
0,0,0,0,0,0,3,0,0,0,0,1498,0,0,0,2,3,祝一帆,0,3,中场,16,0,0,2014,1,0,0,2,2,0,0,0,1,0
0,3,1,0,4,0,16,0,0,0,0,1114,2,0,7,1,90,萨利,0,33,中场,107,0,0,2014,32,0,0,1,30,29,0,7,22,0
0,16,0,0,0,2,15,3,1,6,0,1254,4,0,5,0,90,莫雷诺,0,45,中场,241,0,0,2014,45,3,2,0,33,33,1,9,43,0
0,12,1,0,1,0,20,0,0,1,0,1494,4,0,6,5,56,黄希扬,0,40,中场,129,0,0,2014,35,2,1,4,34,30,1,2,32,0
0,6,1,0,1,1,3,0,3,1,0,1517,2,0,5,0,45,刘小龙,1,14,后卫,71,0,0,2014,14,0,0,0,8,8,0,0,17,0
0,9,0,0,0,1,25,0,0,0,0,1423,1,0,10,5,69,刘建业,0,48,中场,140,0,0,2014,43,0,0,4,42,38,1,4,36,0
1,9,0,0,0,4,23,0,0,2,1,1494,4,0,8,2,90,黄希扬,0,43,中场,144,0,0,2014,41,3,1,1,39,38,3,3,31,0
0,11,0,0,1,1,5,0,0,1,0,1495,3,0,7,3,45,杨阔,0,26,中场,83,0,0,2014,23,1,0,0,19,19,1,3,17,0
1,8,1,0,1,2,12,0,1,2,1,1496,0,0,6,1,85,徐洋,2,31,中场,103,0,0,2014,30,1,1,1,24,23,1,5,28,0
3,13,1,2,0,3,26,0,0,3,1,1188,1,3,13,6,86,达维,0,60,中场,231,0,0,2014,54,4,1,3,41,38,0,8,41,0
